tave,tmin,tmax,heat_index,pr,wind_speed,rh,solar_rad,uv_rad,dentist_nearest,doctors_nearest,hospital_nearest,optician_nearest,pharmacy_nearest,pop_count_total,pop_density_mean,dentist_count,doctors_count,hospital_count,optician_count,pharmacy_count,case_total
29.38,26.94,32.98,34.70,13.43,1.60,76.81,199.07,25.74,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,7.00,0.00,14.00,7.00,126.00,1.00
28.52,26.35,31.71,32.97,9.96,1.38,79.23,200.69,25.34,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,7.00,1.00
29.01,26.60,32.63,33.88,10.87,1.58,77.54,201.10,25.94,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,21.00,7.00,42.00,7.00,126.00,3.00
29.43,27.00,32.56,35.13,3.08,1.53,77.17,237.23,28.91,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,7.00,0.00,14.00,7.00,126.00,2.00
28.52,25.80,31.46,33.28,3.17,1.56,79.72,237.71,29.00,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,7.00,5.00
29.13,26.63,32.34,34.45,2.11,1.49,77.78,238.98,29.03,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,21.00,7.00,42.00,7.00,126.00,4.00
29.21,26.55,32.60,34.67,0.00,1.82,78.37,231.62,29.30,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,2.00,0.00,4.00,2.00,36.00,1.00
28.40,25.62,31.48,32.97,0.00,1.42,79.85,238.29,29.52,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,2.00,9.00
28.88,26.24,32.36,33.92,0.00,1.78,78.99,233.29,29.40,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,6.00,2.00,12.00,2.00,36.00,5.00
28.64,26.64,31.14,34.20,10.85,3.65,82.63,179.76,22.98,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,5.00,0.00,10.00,5.00,90.00,0.00
27.77,25.82,30.12,32.26,10.46,2.81,85.11,185.15,23.51,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,5.00,0.00
28.29,26.31,30.78,33.36,9.56,3.57,83.25,180.30,22.99,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,15.00,5.00,30.00,5.00,90.00,0.00
27.09,25.83,29.15,30.66,29.74,6.18,86.14,165.03,21.95,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,7.00,0.00,14.00,7.00,126.00,2.00
26.11,24.88,27.82,28.55,34.75,5.50,89.26,153.97,20.79,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,7.00,10.00
26.83,25.55,28.93,30.08,24.97,6.05,86.45,169.36,22.34,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,21.00,7.00,42.00,7.00,126.00,5.00
